Existence of hotels - does not exist,Total number of restaurants,Town,Existence of cafes - does not exist,refArea,Existence of touristic attractions prone to be exploited and developed - exists,Total number of guest houses,Observation URI,Existence of restaurants - does not exist,Total number of hotels,Existence of hotels - exists,Existence of restaurants - exists,Existence of initiatives and projects in the past five years to improve the tourism sector - exists,publisher,Total number of cafes,Existence of guest houses - exists,dataset,Existence of touristic attractions that can be expolited and developed - does not exist,Tourism Index,references,Existence of cafes - exists,Existence of guest houses - does not exist
1,0,Aadaysseh Marjaayoun,0,http://dbpedia.org/resource/Marjeyoun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aadaysseh+Marjaayoun,1,0,0,0,0,Impact Open Data,10,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,1,1
0,0,Aadchit Ech-Chqif,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aadchit+Ech-Chqif,0,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0
1,0,Aadchit El-Qoussair,1,http://dbpedia.org/resource/Marjeyoun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aadchit+El-Qoussair,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,3,Aadloun,1,http://dbpedia.org/resource/Sidon_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aadloun,0,0,0,1,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,3,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aadoussiyeh,1,http://dbpedia.org/resource/Sidon_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aadoussiyeh,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
0,2,Aafsdiq,0,https://dbpedia.org/page/North_Governorate,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aafsdiq,0,1,1,1,0,Impact Open Data,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,10,https://impact.cib.gov.lb/home#open_data_section,1,0
1,0,Aain Aanoub,1,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Aanoub,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Aarab Rachaya,1,https://dbpedia.org/page/Beqaa_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Aarab+Rachaya,1,0,0,0,1,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Aata,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Aata,1,0,0,0,0,Impact Open Data,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,1,1
0,0,Aain Dara,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Dara,0,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0
1,1,Aain Drafil,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Drafil,0,0,0,1,1,Impact Open Data,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,6,https://impact.cib.gov.lb/home#open_data_section,1,1
1,0,Aain Ed-Delb,1,http://dbpedia.org/resource/Sidon_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ed-Delb,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Ed-Delbe,1,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ed-Delbe,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,2,Aain Ej-Jdideh Aaley,1,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ej-Jdideh+Aaley,0,0,0,1,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,0,1
0,1,Aain El Saydeh,1,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+El+Saydeh,0,2,1,1,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,6,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain El-Ghouaybeh,1,http://dbpedia.org/resource/Byblos_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+El-Ghouaybeh,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,5,Aain El-Kharroubeh,0,http://dbpedia.org/resource/Matn_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+El-Kharroubeh,0,0,0,1,0,Impact Open Data,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,-1,6,https://impact.cib.gov.lb/home#open_data_section,1,1
1,0,Aain El-Qabu,1,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+El-Qabu,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
0,0,Aain Er-Rihane,0,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Er-Rihane,0,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0
0,2,Aain Er-Roummaneh Aaley,0,http://dbpedia.org/resource/Aley_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Er-Roummaneh+Aaley,0,1,1,1,0,Impact Open Data,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,9,https://impact.cib.gov.lb/home#open_data_section,1,1
0,5,Aain Es-Sindiane,0,http://dbpedia.org/resource/Matn_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Es-Sindiane,0,2,1,1,1,Impact Open Data,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,9,https://impact.cib.gov.lb/home#open_data_section,1,1
1,0,Aain Et-Teffaha,1,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Et-Teffaha,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Et-Tineh-Miniyeh,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Et-Tineh-Miniyeh,1,0,0,0,0,Impact Open Data,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,1,1
1,0,Aain Ez-Zeit,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ez-Zeit,1,0,0,0,0,Impact Open Data,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,1,1
0,0,Aain Ez-Zeitouneh,1,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ez-Zeitouneh,1,1,1,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Fraidis,1,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Fraidis,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Harsha,1,https://dbpedia.org/page/Beqaa_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Harsha,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
0,6,Aain Ibl,0,http://dbpedia.org/resource/Bint_Jbeil_District,1,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ibl,0,1,1,1,1,Impact Open Data,5,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,10,https://impact.cib.gov.lb/home#open_data_section,1,0
1,1,Aain Jarfa,1,http://dbpedia.org/resource/Hasbaya_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Jarfa,0,0,0,1,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Jrain,1,http://dbpedia.org/resource/Byblos_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Jrain,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Kfaa,1,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Kfaa,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,2,Aain Kfar Zabad,1,http://dbpedia.org/resource/ZahlÃ©_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Kfar+Zabad,0,0,0,1,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Ksour,1,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ksour,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Mouaffaq,1,http://dbpedia.org/resource/Baabda_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Mouaffaq,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,1,Aain Ouzain,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Ouzain,0,0,0,1,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,0,1
0,0,Aain Qana,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Qana,0,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0
1,0,Aain Qania,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Qania,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Qinia,1,http://dbpedia.org/resource/Hasbaya_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Qinia,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
0,0,Aain Saadeh,0,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Saadeh,0,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,0
1,0,Aain Tinta,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Tinta,1,0,0,0,0,Impact Open Data,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,1,1
1,0,Aain Traz,1,http://dbpedia.org/resource/Aley_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Traz,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aain Yaaqoub,1,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Yaaqoub,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1
0,6,Aain Zebdeh,0,http://dbpedia.org/resource/Western_Beqaa_District,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Zebdeh,0,2,1,1,0,Impact Open Data,4,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,10,https://impact.cib.gov.lb/home#open_data_section,1,0
0,6,Aain Zhalta,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,1,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+Zhalta,0,2,1,1,0,Impact Open Data,2,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,10,https://impact.cib.gov.lb/home#open_data_section,1,0
1,0,Aain challal,1,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aain+challal,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
0,0,Aainbal,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aainbal,0,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0
1,0,Aaita Ej-Jabal,0,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aaita+Ej-Jabal,1,0,0,0,0,Impact Open Data,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,1,1
1,0,Aaiyat,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aaiyat,1,0,0,0,0,Impact Open Data,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,1,1
0,0,Aajaltoun,0,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aajaltoun,0,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0
1,6,Aakkar El-Aatiqa,0,https://dbpedia.org/page/Akkar_Governorate,1,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aakkar+El-Aatiqa,0,0,0,1,0,Impact Open Data,20,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,7,https://impact.cib.gov.lb/home#open_data_section,1,0
0,20,Aaley,0,http://dbpedia.org/resource/Aley_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aaley,0,5,1,1,0,Impact Open Data,20,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,9,https://impact.cib.gov.lb/home#open_data_section,1,1
1,2,Aaley Bsatine,1,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aaley+Bsatine,0,0,0,1,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,0,1
1,2,Aali En-Nahri,0,http://dbpedia.org/resource/ZahlÃ©_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aali+En-Nahri,0,0,0,1,1,Impact Open Data,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,6,https://impact.cib.gov.lb/home#open_data_section,1,1
1,1,Aalma,0,http://dbpedia.org/resource/Zgharta_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aalma,0,0,0,1,0,Impact Open Data,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,6,https://impact.cib.gov.lb/home#open_data_section,1,1
0,2,Aalma Ech-Chaab,1,http://dbpedia.org/resource/Tyre_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aalma+Ech-Chaab,0,1,1,1,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,6,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aalman,1,http://dbpedia.org/resource/Marjeyoun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aalman,1,0,0,0,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1
1,0,Aalmane Ech-Chouf,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aalmane+Ech-Chouf,1,0,0,0,0,Impact Open Data,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,1,1
1,3,Aamaret El-Baykat,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aamaret+El-Baykat,0,0,0,1,0,Impact Open Data,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,6,https://impact.cib.gov.lb/home#open_data_section,1,1
1,2,Aamayer,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aamayer,0,0,0,1,0,Impact Open Data,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,6,https://impact.cib.gov.lb/home#open_data_section,1,1
0,15,Aamchit,0,http://dbpedia.org/resource/Byblos_District,1,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aamchit,0,1,1,1,0,Impact Open Data,3,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,10,https://impact.cib.gov.lb/home#open_data_section,1,0
1,1,Aammatour,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aammatour,0,0,0,1,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,0,3,https://impact.cib.gov.lb/home#open_data_section,0,1
1,2,Aammiq Ech-Chouf,1,http://dbpedia.org/resource/Western_Beqaa_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aammiq+Ech-Chouf,0,0,0,1,0,Impact Open Data,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,3,https://impact.cib.gov.lb/home#open_data_section,0,1
1,1,Aana,0,http://dbpedia.org/resource/Western_Beqaa_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aana,0,0,0,1,0,Impact Open Data,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,6,https://impact.cib.gov.lb/home#open_data_section,1,1
1,2,Aandqet,0,https://dbpedia.org/page/Akkar_Governorate,0,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aandqet,0,0,0,1,0,Impact Open Data,2,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,7,https://impact.cib.gov.lb/home#open_data_section,1,0
0,8,Aanjar (Haouch Moussa),0,http://dbpedia.org/resource/ZahlÃ©_District,0,20,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aanjar+%28Haouch+Moussa%29,0,2,1,1,0,Impact Open Data,4,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism,1,10,https://impact.cib.gov.lb/home#open_data_section,1,0
